anger,fear,joy,sadness,confident,analytical,tentative
0,0,0.503414,0,0,0,0
0,0,0.503414,0,0,0,0.928648
0,0,0,0,0,0,0.91961
0,0,0.66274,0,0,0,0
0,0,0.66274,0,0,0,0.692385
0,0,0.66274,0,0,0.636758,0.692385
0,0,0.638284,0,0,0,0
0,0,0.638284,0,0,0.801827,0
0,0,0.652734,0,0,0,0
0,0,0,0.521947,0,0,0
0,0,0,0.521947,0,0.632275,0
0,0,0.890714,0,0,0,0
0,0,0.890714,0,0,0.842108,0
0,0,0.659894,0,0,0,0
0,0,0.659894,0,0,0,0.515711
0,0,0.506668,0,0,0,0
0,0,0.506668,0,0,0,0.923569
0,0,0.805662,0,0,0,0
0,0,0.805662,0,0,0.724236,0
0,0,0.522784,0,0,0,0
0,0,0.522784,0,0.954426,0,0
0,0.596783,0,0,0,0,0
0,0.596783,0,0,0.974568,0,0
0,0,0.773742,0,0,0,0
0,0,0.773742,0,0,0.913969,0
0,0,0.773742,0,0.85399,0.913969,0
0,0,0.940168,0,0,0,0
0,0,0.940168,0,0.812632,0,0
0,0,0.861604,0,0,0,0
0,0,0.861604,0,0,0.762356,0
0,0,0.940251,0,0,0,0
0,0,0.940251,0,0,0.596122,0
0,0,0.940251,0,0.966751,0.596122,0
0,0,0.779303,0,0,0,0
0,0,0.779303,0,0,0.769254,0
0,0,0.779303,0,0,0.769254,0.952443
0,0,0.798986,0,0,0,0
0,0,0.798986,0,0,0.568833,0
0,0,0.919366,0,0,0,0
0,0,0.919366,0,0,0.724236,0
0,0,0,0,0,0,0.925256
0,0,0,0,0,0.595347,0
0,0,0,0,0,0.595347,0.851788
0,0,0.79148,0,0,0,0
0,0,0.79148,0,0.950519,0,0
0,0,0,0,0,0,0.918277
0,0,0,0,0,0,0.733853
0,0,0.692198,0,0,0,0
0,0,0.798713,0,0,0,0
0,0,0.798713,0,0.618451,0,0
0,0,0,0.549877,0,0,0
0,0,0.723307,0,0,0,0
0,0,0.723307,0,0.693873,0,0
0,0,0,0,0,0.506763,0
0,0,0.930273,0,0,0,0
0,0,0.930273,0,0.60167,0,0
0,0,0.693617,0,0,0,0
0,0,0.798695,0,0,0,0
0,0,0.798695,0,0,0.523981,0
0,0,0.798695,0,0,0.523981,0.981844
0,0,0,0,0,0.931276,0
0,0,0,0,0,0.931276,0.933436
0,0,0,0.532437,0,0,0
0,0,0,0.532437,0,0.788671,0
0,0,0,0.532437,0.906441,0.788671,0
0,0,0,0.51408,0,0,0
0,0,0,0.51408,0,0,0.5538
0,0,0,0.51408,0,0.602762,0.5538
0,0,0.622033,0,0,0,0
0,0,0.622033,0,0.862149,0,0
0,0,0.677323,0,0,0,0
0,0,0.517036,0,0,0,0
0,0,0,0,0,0,0.84639
0,0,0.615449,0,0,0,0
0,0,0.710715,0,0,0,0
0,0,0.710715,0,0.92567,0,0
0,0,0.710715,0,0.92567,0.9449,0
0,0,0.632675,0,0,0,0
0,0,0.632675,0,0,0.920855,0
0,0,0.632675,0,0,0.920855,0.75152
0,0,0.56541,0,0,0,0
0,0,0.56541,0,0,0,0.896412
0,0,0.650775,0,0,0,0
0,0,0.643031,0,0,0,0
0,0,0.643031,0,0,0.643758,0
0,0,0.823439,0,0,0,0
0,0,0.823439,0,0.718218,0,0
0,0,0.823439,0,0.718218,0.723884,0
0,0,0.601614,0,0,0,0
0,0,0.601614,0,0,0.724236,0
0,0,0,0.91036,0,0,0
0,0,0,0.91036,0.883574,0,0
0,0,0,0.955232,0,0,0
0,0,0,0.955232,0,0.762356,0
0,0,0.746477,0,0,0,0
0,0,0.746477,0,0,0,0.940117
0,0,0.747026,0,0,0,0
0,0,0,0,0,0.687768,0
0,0,0.696365,0,0,0,0
0,0,0.710715,0,0,0,0
0,0,0.710715,0,0.984754,0,0
0,0,0.710715,0,0.984754,0.952933,0
